Title,Start Time,End Time,Date,Location,Department,Site
The Future of Democracy in Africa with Achille Mbembe and Felwine Sarr,11:45 AM,01:15 PM,2024-04-19,,University of Virginia,https://www.virginia.edu/calendar
4/19 Free Meal Prep Class!,12:00 PM,01:30 PM,2024-04-19,Student Health & Wellness's Teaching Kitchen,University of Virginia,https://www.virginia.edu/calendar
Making Noise in the Library: The Dale Avenue Band,12:30 PM,11:30 AM,2024-04-19,Old Cabell Hall,University of Virginia,https://www.virginia.edu/calendar
Tom Tom Festival: The Future of Local Journalism,01:15 PM,02:15 PM,2024-04-19,,University of Virginia,https://www.virginia.edu/calendar
How to be a Hoo-nicorn: A Celebration of Entrepreneurship with UVA Alum Tommy Nicholas (CEO of Alloy) + Student Founders Across Grounds,03:00 PM,04:30 PM,2024-04-19,Nau Hall,University of Virginia,https://www.virginia.edu/calendar
Japan's Imperial Borderlands: Case Studies from Taiwan and Korea,03:15 PM,04:30 PM,2024-04-19,Monroe Hall,University of Virginia,https://www.virginia.edu/calendar
Tom Tom Festival: Psychedelics & Meditation and Science of Psychedelics,02:30 PM,03:30 PM,2024-04-20,See Event Description,University of Virginia,https://www.virginia.edu/calendar
Dance Fest by First Year Council,03:00 PM,05:00 PM,2024-04-20,Newcomb Hall (Student Center),University of Virginia,https://www.virginia.edu/calendar
Indian Classical Night,06:00 PM,09:00 PM,2024-04-20,McLeod Hall #1020 (Fenwick Auditorium),University of Virginia,https://www.virginia.edu/calendar
Corner Cleanup,11:00 AM,12:00 PM,2024-04-21,Madison Hall (President's Office),University of Virginia,https://www.virginia.edu/calendar
UVA Cello Ensemble Spring 2024 Recital,12:30 PM,02:00 PM,2024-04-21,Rotunda (Dome Room),University of Virginia,https://www.virginia.edu/calendar
2024 SCOPER LECTURE WILL FEATURE DAVID BROOKS IN CONVERSATION WITH MELODY BARNES,03:00 PM,04:00 PM,2024-04-21,Old Cabell Hall,University of Virginia,https://www.virginia.edu/calendar
Wheelchair Takeover: Paralympic Pick-up,03:00 PM,06:00 PM,2024-04-19,,School of Education and Human Development,https://education.virginia.edu/events
"EHD Black Alumni Weekend Events: Honoring the Past, Advancing in the Future",03:30 PM,05:30 PM,2024-04-19,"Office of Diversity, Equity and Inclusion",School of Education and Human Development,https://education.virginia.edu/events
M.Ed. in Administration & Supervision Information Session,04:00 PM,05:00 PM,2024-04-22,Admission & Enrollment,School of Education and Human Development,https://education.virginia.edu/events
How to Become a Teacher Information Session April 2024,06:00 PM,08:00 PM,2024-04-23,Teaching & Learning,School of Education and Human Development,https://education.virginia.edu/events
EHD Yoga,09:00 AM,10:00 AM,2024-04-29,Academic Programs & Student Affairs,School of Education and Human Development,https://education.virginia.edu/events
Ice Cream Social,12:00 PM,02:00 PM,2024-04-30,EHD Student Affairs and Ed Council,School of Education and Human Development,https://education.virginia.edu/events
VEST Workshop with Molly Faulkner-Bond,09:00 AM,04:00 PM,2024-05-15,,School of Education and Human Development,https://education.virginia.edu/events
The Future of Democracy in Africa with Achille Mbembe and Felwine Sarr,11:45 AM,10:45 AM,2024-04-19,Bond House,UVA Global,https://global.virginia.edu/events
"Book Launch: ""Portrait and Place: Photography in Senegal, 1840-1960"" by Giulia Paoletti, Art",12:00 PM,11:00 AM,2024-04-19,"Wilson Hall, Room 142",UVA Global,https://global.virginia.edu/events
Open Publication Workshop,09:00 AM,08:00 AM,2024-04-27,Shannon Conference Room 323,University of Virginia Library,"https://cal.lib.virginia.edu/calendar/events?cid=4299&t=m&d=0000-00-00&cal=4299&ct=69160,33395,66337,31015,30813,51597,58853,58854,58855,58856,70846,45972,31362,27888,30045,27381,57994,54907,26930,29624,56703,66253,66255,66338,46136,70848,33496,70427,27725,29618,63738,28898,33396,38996,50481,70849,51598,29985&inc=0"
Final FridayTheir World As Big As They Made It,05:30 PM,04:30 PM,2024-04-27,,University of Virginia Library,"https://cal.lib.virginia.edu/calendar/events?cid=4299&t=m&d=0000-00-00&cal=4299&ct=69160,33395,66337,31015,30813,51597,58853,58854,58855,58856,70846,45972,31362,27888,30045,27381,57994,54907,26930,29624,56703,66253,66255,66338,46136,70848,33496,70427,27725,29618,63738,28898,33396,38996,50481,70849,51598,29985&inc=0"
UVA Link Lab 2024 Spring Distinguished Research Award,12:30 PM,01:30 PM,2024-04-19,UVA Link Lab | Olsson Hall 2nd Floor Arena,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
ECE Seminar: Speaker: Dr. Charles E. Boyer,02:00 PM,03:00 PM,2024-04-19,THORNTON HALL ROOM C311,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
Civil and Environmental Engineering Distinguished Speaker Series,02:00 PM,03:20 PM,2024-04-25,Built Environment,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
BME Diploma Ceremony: Final Exercises 2024,11:30 AM,12:30 PM,2024-05-19,Old Cabell Hall,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
2024 CPS Rising Stars Workshop,09:00 AM,07:00 PM,2024-05-29,UVA Link Lab,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
"Black Alumni Weekend: ""OnBoard"" Screening, Panel & Reception",02:30 PM,05:30 PM,2024-04-19,Rouse & Robertson Halls,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
180 Degrees: Bain & Co. Women's Case Competition,08:00 AM,01:00 PM,2024-04-19,Rouse & Robertson Halls,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
Commerce Council Weekly Meeting,12:00 PM,03:00 PM,2024-04-19,Rouse & Robertson Halls,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
M.S. in the Management of IT Student Panel,06:00 PM,07:00 PM,2024-04-23,Virtual,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
Blockchain at UVA x EasyA,06:00 PM,07:00 PM,2024-04-23,Rouse & Robertson Halls,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
Stan Winston & Steve Warner Festival of the Moving Creature,07:00 PM,09:00 PM,2024-04-26,Betsy and John Casteen Arts Grounds,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
Black Alumni Weekend 2024 Networking Reception,04:30 PM,06:00 PM,2024-04-19,,School of Medicine,https://news.med.virginia.edu/
"Cancer Center Seminar with Paul A. Northcutt, PhD",12:30 PM,01:30 PM,2024-04-19,,School of Medicine,https://news.med.virginia.edu/
UVA Voice Center Presents 8th Annual World Voice Day Concert,05:00 PM,08:00 PM,2024-04-20,,School of Medicine,https://news.med.virginia.edu/
UVA Alpha Omega Alpha (AOA) Honor Medical Society: Saying What We MeanHow Medical Language Reveals and Conceals,12:00 PM,01:00 PM,2024-04-24,,School of Medicine,https://news.med.virginia.edu/
Batten Hour with Elizabeth Andrews: The State of Climate Policy in Virginia,12:30 PM,01:30 PM,2024-04-22,"Garrett Hall, Great Hall (100)",Frank Batten School of Leadership and Public Policy,https://events.batten.virginia.edu/
Immigration and Elections: Global Implications for 2024,12:00 PM,01:15 PM,2024-04-24,"Garrett Hall, Great Hall (100)",Frank Batten School of Leadership and Public Policy,https://events.batten.virginia.edu/
Faculty Meeting,12:00 PM,02:00 PM,2024-04-19,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
Experimental Theory Workshop: Charles Noussair,03:30 PM,05:00 PM,2024-04-22,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
Joint IO/Theory/Econometrics Workshop: Ginger Jin,03:30 PM,05:00 PM,2024-04-23,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
International/Trade Workshop: Luca David Opromolla,03:30 PM,05:00 PM,2024-04-24,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
Public Economics Workshop: Corina Mommaerts,03:30 PM,05:00 PM,2024-04-25,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
IO/Theory Economics Workshop: Regis Renault,03:30 PM,05:00 PM,2024-04-29,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
Dissertation Defense: Siqi Yang,10:00 AM,11:30 AM,2024-04-29,"Monroe Hall, Room 235",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
Global Development Seminar: Laurent Bouton,12:15 PM,01:30 PM,2024-04-30,"Monroe Hall, Room 120",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
Dissertation Defense- Donghyun Suh,10:00 AM,11:30 AM,2024-04-30,"Monroe Hall, Room 235",Department of Economics,https://economics.virginia.edu/calendar/month?date=2024-04
@UVA: Travel Trivia with McIntire,05:00 PM,04:00 PM,2024-04-22,,UVA Career Center,https://career.virginia.edu/Employers
@UVA: NSBE: Personal Branding,06:00 PM,05:00 PM,2024-04-22,,UVA Career Center,https://career.virginia.edu/Employers
@UVA: McKinsey Recruiter Office Hours for UVA Students,03:30 PM,04:30 PM,2024-04-25,Newcomb Hall 376,UVA Career Center,https://career.virginia.edu/Employers
@UVA: A Day in the Life of a McKinsey Business Analyst,06:00 PM,05:00 PM,2024-04-25,,UVA Career Center,https://career.virginia.edu/Employers
IHGC Book Celebration,11:00 AM,02:00 PM,2024-04-27,Wilson Hall Lobby (1st Floor),Institue of Humanities and Global Culture,https://ihgc.as.virginia.edu/events
"Book Launch: ""Portrait and Place: Photography in Senegal, 1840-1960"" by Giulia Paoletti, Art",11:30 AM,01:00 PM,2024-04-27,,Institue of Humanities and Global Culture,https://ihgc.as.virginia.edu/events
"SWAMP WORKSHOP - Abbie Moore, Wake Forest Sociology",03:30 PM,05:00 PM,2024-04-19,Randall Hall 212,Sociology,https://sociology.as.virginia.edu/events
Professor Brian Foster Book Reading,07:00 PM,08:30 PM,2024-05-17,New Dominion Bookshop on the Downtown Mall,Sociology,https://sociology.as.virginia.edu/events
Professor Allison Pugh Book Reading,07:00 PM,08:00 PM,2024-05-30,,Sociology,https://sociology.as.virginia.edu/events
Blackness Beyond Protestantism: A Critical Conversation Between Religion and Black Studies,01:00 PM,04:00 PM,2024-04-19,Minor Hall 110,Religious Studies,https://religiousstudies.as.virginia.edu/events
Porneia in Achaia: Ancient Stereotypes and Pauls Corinthian Correspondence,02:00 PM,03:30 PM,2024-04-23,,Religious Studies,https://religiousstudies.as.virginia.edu/events
Religious Studies Diploma Ceremony,11:30 AM,01:00 PM,2024-05-18,Slaughter Recreation Center,Religious Studies,https://religiousstudies.as.virginia.edu/events
RED Lecture with Dana Lloyd,05:00 PM,07:00 PM,2024-09-19,TBA,Religious Studies,https://religiousstudies.as.virginia.edu/events
Making Noise in the Library: The Dale Avenue Band,01:00 PM,12:00 PM,2024-04-19,UVA Music Library in Old Cabell Hall,Music,https://music.virginia.edu/events
SPICMACAY at UVA Presents: Indian Classical Night**Affiliated Event,07:00 PM,06:00 PM,2024-04-20,Mcleod Hall,Music,https://music.virginia.edu/events
Charlottesville Symphony at the University of VirginiaMasterworks 5: Academic Festival,07:30 PM,06:30 PM,2024-04-20,Old Cabell Hall,Music,https://music.virginia.edu/events
