Subject,Start Date,Start Time,End Time,Location,Description
Make a leather book cover,2024-04-17,01:00 PM,03:00 PM,Scholars' Lab Makerspace - Alderman 308i,Scholars' Lab
"""Unearthing Black Midwifery Stories in Virginia""",2024-04-16,12:00 PM,01:00 PM,McLeod Hall (Rm. 5060) / virginia.zoom.us,University of Virginia
2024 Grad Thesis SLAM,2024-04-16,04:00 PM,06:00 PM,Alumni Hall,University of Virginia
AI and You: Navigating the Future Together at UVA,2024-04-16,05:30 PM,07:00 PM,Newcomb Hall (Student Center),University of Virginia
Indigenous Australian Art Takes the Runway,2024-04-16,07:00 PM,08:00 PM,,University of Virginia
"A Night of Percussion featuring guest artist, Brady Spitz, with the UVA Percussion Ensemble",2024-04-16,08:00 PM,09:00 PM,Old Cabell Hall,University of Virginia
Accessibility Open Lab,2024-04-18,02:00 PM,03:30 PM,Zoom,University of Virginia
Howland Symposium: Particulate Matters,2024-04-18,05:00 PM,07:00 PM,Campbell Hall (School of Architecture),University of Virginia
M.S. in Business Analytics Application Strategy Session,2024-04-18,05:00 PM,06:00 PM,Zoom,University of Virginia
Quantum Computing and the Entanglement Frontier,2024-04-18,06:30 PM,08:00 PM,Chemistry Building,University of Virginia
Thursday Night Thrills Presents The Man Who Laughs (1928),2024-04-18,07:00 PM,09:00 PM,Clark Hall,University of Virginia
Environmental Justice Documentary Screening,2024-04-18,07:30 PM,09:30 PM,Newcomb Hall (Student Center),University of Virginia
4/19 Free Meal Prep Class!,2024-04-19,12:00 PM,01:30 PM,Student Health & Wellness's Teaching Kitchen,University of Virginia
Japan's Imperial Borderlands: Case Studies from Taiwan and Korea,2024-04-19,03:15 PM,04:30 PM,Monroe Hall,University of Virginia
Tom Tom Festival: Psychedelics & Meditation and Science of Psychedelics,2024-04-20,02:30 PM,03:30 PM,See Event Description,University of Virginia
Indian Classical Night,2024-04-20,06:00 PM,09:00 PM,McLeod Hall #1020 (Fenwick Auditorium),University of Virginia
Corner Cleanup,2024-04-21,11:00 AM,12:00 PM,Madison Hall (President's Office),University of Virginia
UVA Cello Ensemble Spring 2024 Recital,2024-04-21,12:30 PM,02:00 PM,Rotunda (Dome Room),University of Virginia
