Title,Start Time,End Time,Date,Location,Department,Site
"Canal Connectivity
Nix Travel Fellowship Exhibition + Gallery Talk",,,,Campbell East Wing Gallery,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
GEOLOGIC METANOIA: MATERIAL DOMESTICATION FROM THE AWESOME TO THE MUNDANE,,,,Campbell Salon Walls,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
"I Templi del Tempo: The Development and Adaptation of Italian Catholic Architecture Through Time
Pelliccia Travel Fellowship Exhibition + Gallery Talk",,,,Campbell Dean's Gallery,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
"Inaugural Virginia Architecture Fellows Showcase
Exhibition & Gallery Talk",,,,Campbell Elmaleh Gallery & Mezzanine,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
"You Can Move Mountains
Fanzone Travel Fellowship Exhibition + Gallery Talk",6PM,,,,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
Painting & Public Art,,,,Campbell Corner Gallery + Salon Walls,School of Architecture,https://www.arch.virginia.edu/events?search=&start=&end=&range=upcoming&events=&pageindex=0&pagesize=12
Center for Excellence in Education Scholars Program: Call for Self-Nominations for 2024-2025 Cohort,,,,,School of Medicine,https://news.med.virginia.edu/
Graduate and Medical Students Host Local High Schoolers for Latest Discover Medicine Session,,,,,School of Medicine,https://news.med.virginia.edu/
Class of 2024 Gives Back to Patient-Teachers During Gratitude Celebration,,,,,School of Medicine,https://news.med.virginia.edu/
2024 Trainee Diversity & Inclusion Conference,7:45 am,,,,School of Medicine,https://news.med.virginia.edu/
UVA School of Medicine 5k Benefitting Camp Holiday Trails,9:00 am,11:00 am,,,School of Medicine,https://news.med.virginia.edu/
Housestaff Council for Diversity and Inclusion 6th Annual Trainee Diversity and Inclusion Conference Planned for April 13,,,,,School of Medicine,https://news.med.virginia.edu/
May the 4th,,,2024-05-03,,Scholars' Lab,https://scholarslab.lib.virginia.edu/events/
Mother's Day,,,2024-05-06,,Scholars' Lab,https://scholarslab.lib.virginia.edu/events/
University of Virginia Venture Capital Conference,,,2024-04-12,,University of Virginia,https://www.virginia.edu/calendar
Art Reception with Amy Chan,,,2024-04-12,(Edgar Shannon Library),University of Virginia,https://www.virginia.edu/calendar
Imagination and Creativity in the Music by riks Eenvalds,,,2024-04-12,,University of Virginia,https://www.virginia.edu/calendar
Chamber Music Ensembles Recital - Spring 2024,,,2024-04-13,(Old Cabell Hall),University of Virginia,https://www.virginia.edu/calendar
2024 Protecting Health in a Changing Climate:  Rising Heat and Health in Virginia,,,2024-04-13,,University of Virginia,https://www.virginia.edu/calendar
EHD Undergraduate Graduation Celebration,,,2024-05-01,,School of Education and Human Development,https://education.virginia.edu/events
UVA Club of Washington DC: UVA Graduate School Fair,,,2024-05-08,,School of Education and Human Development,https://education.virginia.edu/events
Global Futures Symposium,,,2024-04-25,,UVA Global,https://global.virginia.edu/events
The Future of Democracy in India,,,2024-04-12,,UVA Global,https://global.virginia.edu/events
2024 People Power Academy,,,2024-04-26,,UVA Global,https://global.virginia.edu/events
Global Partnership Essentials: Sugar Pack  Pack for Wellness,,,2024-04-17,,UVA Global,https://global.virginia.edu/events
A Librarian Like No Other: Belle da Costa Greene and Self-Invention,,,2024-04-16,Shannon Seminar Room 330,University of Virginia Library,"https://cal.lib.virginia.edu/calendar/events?cid=4299&t=m&d=0000-00-00&cal=4299&ct=69160,33395,66337,31015,30813,51597,58853,58854,58855,58856,70846,45972,31362,27888,30045,27381,57994,54907,26930,29624,56703,66253,66255,66338,46136,70848,33496,70427,27725,29618,63738,28898,33396,38996,50481,70849,51598,29985&inc=0"
"ECE Seminar - Speaker: Stephanie Damas, Clemson University
In this talk, Damas will explore the early findings of her dissertation study to emphasize further the impact of minority engineering programs on student experiences. She will leverage her findings...",,,2024-04-12,ZOOM,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
"BME Seminar: Joel Collier, PhD, Duke University
Joel Collier, Ph.D., Duke University - Hosted by Tom Barker, Ph.D.",,,2024-04-19,MR5 1041,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
"ECE Seminar: Speaker: Dr. Charles E. Boyer
The talk will discuss the technical advances that are enabling the use of improved products and technologies, including: Building Integrated Photovoltaics; Dynamic Glazing including Thermochromic and",,,2024-04-19,THORNTON HALL ROOM E316,School of Engineering and Applied Science,https://engineering.virginia.edu/news-events/events
"Black Alumni Weekend: ""OnBoard"" Screening, Panel & Reception",,,2024-04-19,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
M.S. in Commerce Information Session,,,2024-04-23,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
Alternative Investing in a Rapidly Changing Environment  McIntire Alumni Panel,,,2024-04-25,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
Connaughton Speaker Series: A Founders Conversation,,,2024-04-26,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
NYC Alumni & Friends Reception,,,2024-05-07,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
Knowledge Continuum,,,2024-05-10,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
M.S. in Accounting Information Session,,,2024-05-14,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
London Pub Night with Carl Zeithaml,,,2024-05-30,,McIntire School of Commerce,https://commcal.mcintire.virginia.edu/
